"time","class","pkts","tcp_retx_pkts"
"04-Oct-2013 13:00:00","Inbound",40224835,220252
"04-Oct-2013 13:00:00","Outbound",27620234,149040
"04-Oct-2013 12:00:00","Inbound",42746160,282195
"04-Oct-2013 12:00:00","Outbound",31738032,108880
"04-Oct-2013 11:00:00","Inbound",51600075,231472
"04-Oct-2013 11:00:00","Outbound",31505946,208304
"04-Oct-2013 10:00:00","Inbound",50946278,162221
"04-Oct-2013 10:00:00","Outbound",30635639,182650
"04-Oct-2013 09:00:00","Inbound",34600247,89252
"04-Oct-2013 09:00:00","Outbound",22811736,88547
"04-Oct-2013 08:00:00","Inbound",18472017,22799
"04-Oct-2013 08:00:00","Outbound",13139281,36366
"04-Oct-2013 07:00:00","Inbound",5617355,7685
"04-Oct-2013 07:00:00","Outbound",4442285,13050
"04-Oct-2013 06:00:00","Inbound",3879920,3459
"04-Oct-2013 06:00:00","Outbound",3473671,16372
"04-Oct-2013 05:00:00","Inbound",2400575,7844
"04-Oct-2013 05:00:00","Outbound",2604618,15139
"04-Oct-2013 04:00:00","Inbound",3196163,12285
"04-Oct-2013 04:00:00","Outbound",4704758,21504
"04-Oct-2013 03:00:00","Inbound",2779068,3922
"04-Oct-2013 03:00:00","Outbound",2857158,18596
"04-Oct-2013 02:00:00","Inbound",2599198,6261
"04-Oct-2013 02:00:00","Outbound",3398300,43874
"04-Oct-2013 01:00:00","Inbound",3793603,6872
"04-Oct-2013 01:00:00","Outbound",4075555,19986
"04-Oct-2013 00:00:00","Inbound",5176586,14221
"04-Oct-2013 00:00:00","Outbound",5933957,26246
"03-Oct-2013 23:00:00","Inbound",7619554,16240
"03-Oct-2013 23:00:00","Outbound",7257628,32590
"03-Oct-2013 22:00:00","Inbound",11345912,33000
"03-Oct-2013 22:00:00","Outbound",9709712,171587
"03-Oct-2013 21:00:00","Inbound",14699615,25424
"03-Oct-2013 21:00:00","Outbound",11853886,109687
"03-Oct-2013 20:00:00","Inbound",21887297,92791
"03-Oct-2013 20:00:00","Outbound",17211052,96990
"03-Oct-2013 19:00:00","Inbound",45879487,170245
"03-Oct-2013 19:00:00","Outbound",29739836,134529
"03-Oct-2013 18:00:00","Inbound",50280247,190441
"03-Oct-2013 18:00:00","Outbound",31621880,177378
"03-Oct-2013 17:00:00","Inbound",57024187,200514
"03-Oct-2013 17:00:00","Outbound",34662760,162304
"03-Oct-2013 16:00:00","Inbound",46962537,150699
"03-Oct-2013 16:00:00","Outbound",31144961,199861
"03-Oct-2013 15:00:00","Inbound",34732443,128729
"03-Oct-2013 15:00:00","Outbound",24385903,110240
"03-Oct-2013 14:00:00","Inbound",42812187,163909
"03-Oct-2013 14:00:00","Outbound",30155770,153494
"03-Oct-2013 13:00:00","Inbound",49561586,221204
"03-Oct-2013 13:00:00","Outbound",36832413,155073
"03-Oct-2013 12:00:00","Inbound",43771426,265092
"03-Oct-2013 12:00:00","Outbound",32640508,152572
"03-Oct-2013 11:00:00","Inbound",55527886,204522
"03-Oct-2013 11:00:00","Outbound",37241923,146750
"03-Oct-2013 10:00:00","Inbound",46653030,224314
"03-Oct-2013 10:00:00","Outbound",32640975,352702
"03-Oct-2013 09:00:00","Inbound",33798655,107577
"03-Oct-2013 09:00:00","Outbound",22910298,190104
"03-Oct-2013 08:00:00","Inbound",21216812,29571
"03-Oct-2013 08:00:00","Outbound",14575355,103150
"03-Oct-2013 07:00:00","Inbound",7062624,9262
"03-Oct-2013 07:00:00","Outbound",5772672,120725
"03-Oct-2013 06:00:00","Inbound",1528777,2782
"03-Oct-2013 06:00:00","Outbound",1979403,11248
"03-Oct-2013 05:00:00","Inbound",1727392,3303
"03-Oct-2013 05:00:00","Outbound",2302620,14594
"03-Oct-2013 04:00:00","Inbound",2452465,8933
"03-Oct-2013 04:00:00","Outbound",3362562,19574
"03-Oct-2013 03:00:00","Inbound",2838502,11342
"03-Oct-2013 03:00:00","Outbound",3401179,21996
"03-Oct-2013 02:00:00","Inbound",3228919,4101
"03-Oct-2013 02:00:00","Outbound",3523318,26291
"03-Oct-2013 01:00:00","Inbound",4177780,6240
"03-Oct-2013 01:00:00","Outbound",5215445,174888
"03-Oct-2013 00:00:00","Inbound",6762920,9403
"03-Oct-2013 00:00:00","Outbound",7185035,34495
"02-Oct-2013 23:00:00","Inbound",7616878,15066
"02-Oct-2013 23:00:00","Outbound",8296994,40053
"02-Oct-2013 22:00:00","Inbound",12610843,63097
"02-Oct-2013 22:00:00","Outbound",10994260,64954
"02-Oct-2013 21:00:00","Inbound",17543063,97348
"02-Oct-2013 21:00:00","Outbound",14059570,90943
"02-Oct-2013 20:00:00","Inbound",18623823,66578
"02-Oct-2013 20:00:00","Outbound",15504631,58168
"02-Oct-2013 19:00:00","Inbound",33316175,179084
"02-Oct-2013 19:00:00","Outbound",24045212,93130
"02-Oct-2013 18:00:00","Inbound",36303556,178423
"02-Oct-2013 18:00:00","Outbound",24535902,156430
"02-Oct-2013 17:00:00","Inbound",46719842,194842
"02-Oct-2013 17:00:00","Outbound",28626174,155373
"02-Oct-2013 16:00:00","Inbound",56291706,159814
"02-Oct-2013 16:00:00","Outbound",32158484,133792
"02-Oct-2013 15:00:00","Inbound",35252552,82903
"02-Oct-2013 15:00:00","Outbound",21959698,79990
"02-Oct-2013 14:00:00","Inbound",30145586,93820
"02-Oct-2013 14:00:00","Outbound",20612841,92233
"02-Oct-2013 13:00:00","Inbound",38697033,255507
"02-Oct-2013 13:00:00","Outbound",28044384,133373
"02-Oct-2013 12:00:00","Inbound",48353239,405101
"02-Oct-2013 12:00:00","Outbound",32777763,154067
"02-Oct-2013 11:00:00","Inbound",51795100,296811
"02-Oct-2013 11:00:00","Outbound",33317175,189926
"02-Oct-2013 10:00:00","Inbound",58648176,295513
"02-Oct-2013 10:00:00","Outbound",35405442,149286
"02-Oct-2013 09:00:00","Inbound",38994075,127744
"02-Oct-2013 09:00:00","Outbound",25144119,95216
"02-Oct-2013 08:00:00","Inbound",18706485,28630
"02-Oct-2013 08:00:00","Outbound",12669884,26746
"02-Oct-2013 07:00:00","Inbound",9645954,12084
"02-Oct-2013 07:00:00","Outbound",6530904,14937
"02-Oct-2013 06:00:00","Inbound",2517598,2726
"02-Oct-2013 06:00:00","Outbound",2660648,15464
"02-Oct-2013 05:00:00","Inbound",1602883,2109
"02-Oct-2013 05:00:00","Outbound",2073865,15054
"02-Oct-2013 04:00:00","Inbound",2871328,2256
"02-Oct-2013 04:00:00","Outbound",2984315,20508
"02-Oct-2013 03:00:00","Inbound",3072453,2253
"02-Oct-2013 03:00:00","Outbound",3558507,32093
"02-Oct-2013 02:00:00","Inbound",2491458,6766
"02-Oct-2013 02:00:00","Outbound",2973486,36669
"02-Oct-2013 01:00:00","Inbound",5467157,14059
"02-Oct-2013 01:00:00","Outbound",5039386,28296
"02-Oct-2013 00:00:00","Inbound",7484714,18555
"02-Oct-2013 00:00:00","Outbound",6930614,30163
"01-Oct-2013 23:00:00","Inbound",8723675,23183
"01-Oct-2013 23:00:00","Outbound",8315109,37254
"01-Oct-2013 22:00:00","Inbound",11696562,33657
"01-Oct-2013 22:00:00","Outbound",10510697,45911
"01-Oct-2013 21:00:00","Inbound",15221883,35148
"01-Oct-2013 21:00:00","Outbound",13043001,52938
"01-Oct-2013 20:00:00","Inbound",27498660,66378
"01-Oct-2013 20:00:00","Outbound",17316557,68889
"01-Oct-2013 19:00:00","Inbound",39200139,141950
"01-Oct-2013 19:00:00","Outbound",25908497,94119
"01-Oct-2013 18:00:00","Inbound",39611593,199226
"01-Oct-2013 18:00:00","Outbound",27647933,121963
"01-Oct-2013 17:00:00","Inbound",46652628,365154
"01-Oct-2013 17:00:00","Outbound",31543740,133988
"01-Oct-2013 16:00:00","Inbound",42796083,289176
"01-Oct-2013 16:00:00","Outbound",29140771,134533
"01-Oct-2013 15:00:00","Inbound",31559505,129242
"01-Oct-2013 15:00:00","Outbound",21954085,112108
"01-Oct-2013 14:00:00","Inbound",53380946,383675
"01-Oct-2013 14:00:00","Outbound",34747085,156085
"01-Oct-2013 13:00:00","Inbound",50212185,327779
"01-Oct-2013 13:00:00","Outbound",31434136,122879
"01-Oct-2013 12:00:00","Inbound",63485349,465667
"01-Oct-2013 12:00:00","Outbound",39934819,202021
"01-Oct-2013 11:00:00","Inbound",76376945,614238
"01-Oct-2013 11:00:00","Outbound",42660159,143931
"01-Oct-2013 10:00:00","Inbound",60278625,328645
"01-Oct-2013 10:00:00","Outbound",36110260,655464
"01-Oct-2013 09:00:00","Inbound",66464481,522112
"01-Oct-2013 09:00:00","Outbound",37279904,136328
"01-Oct-2013 08:00:00","Inbound",23411919,75290
